species,year,flower_start,flower_end,median_flowers,lower_sd,upper_sd
musineon,2013,200,205,203,201,204
musineon,2013,206,210,208,207,209
musineon,2013,211,215,213,212,214
musineon,2013,216,220,218,217,219
musineon,2013,221,225,223,222,224
lomatium,2014,190,200,194,192,197
lomatium,2014,190,200,195,193,199
lomatium,2014,190,200,193,191,196
lomatium,2014,190,200,196,194,197
lomatium,2014,190,200,195,193,199
lomatium,2014,190,200,194,192,198
podistera,2011,180,200,191,184,195
podistera,2011,180,200,193,187,197
podistera,2011,180,200,187,183,194
podistera,2011,180,200,188,185,196
podistera,2011,180,190,184,182,187
podistera,2011,180,190,185,183,187
podistera,2011,180,190,186,182,189
podistera,2011,180,190,184,181,186
podistera,2011,191,200,195,193,198
podistera,2011,191,200,194,192,197
podistera,2011,191,200,196,194,199
podistera,2011,191,200,195,192,196
tauschia,2012,200,300,244,236,256
tauschia,2012,210,290,256,251,265
tauschia,2012,220,280,257,251,265
tauschia,2012,230,270,259,252,264
tauschia,2012,240,260,251,247,256
tauschia,2012,250,252,251,250,252
tauschia,2012,190,199,195,193,197
tauschia,2012,180,189,184,183,186
tauschia,2012,301,310,305,303,308
tauschia,2012,243,263,253,249,258
tauschia,2012,340,350,345,342,356
tauschia,2012,190,199,194,192,196
tauschia,2012,208,242,224,216,230
