individual,repro_output_two,repro_output_one,repro_output,year,site,box,hole,nest_start,straw_id,lookup_id,species,genus,sex,nest_end,nest_duration,emergence_year_plus_one,emergence_year_plus_two,size,parasitized,parasite_id,questionable_id,notes
14,3,0,3,2012,401_trailhead,4,c6,210,8,2012.401_trailhead.4.c6,Osmia_iridis,Osmia,male,212,3,NA,156,s,no,NA,NA,NA
14,3,0,3,2012,401_trailhead,4,c6,210,8,2012.401_trailhead.4.c6,Osmia_iridis,Osmia,male,212,3,NA,156,s,no,NA,NA,NA
14,3,0,3,2012,401_trailhead,4,c6,210,8,2012.401_trailhead.4.c6,Osmia_iridis,Osmia,male,212,3,NA,163,s,no,NA,NA,NA
57,3,0,3,2012,ehrlich,9,b5,174,53,2012.ehrlich.9.b5,Osmia_pikei,Osmia,female,199,26,NA,156,s,no,NA,NA,NA
57,3,0,3,2012,ehrlich,9,b5,174,53,2012.ehrlich.9.b5,Osmia_pikei,Osmia,male,199,26,NA,142,s,no,NA,NA,NA
57,3,0,3,2012,ehrlich,9,b5,174,53,2012.ehrlich.9.b5,Osmia_pikei,Osmia,male,199,26,NA,149,s,no,NA,NA,NA
89,1,0,1,2012,forrest_meadow,9,c5,188,63,2012.forrest_meadow.9.c5,Osmia_iridis,Osmia,male,206,19,NA,149,s,no,NA,yes,NA
96,1,0,1,2012,judd_falls,3,c4,174,92,2012.judd_falls.3.c4,Osmia_pikei,Osmia,female,191,18,NA,153,s,no,NA,NA,NA
98,1,0,1,2012,judd_falls,3,c7,169,94,2012.judd_falls.3.c7,Osmia_iridis,Osmia,male,171,3,NA,156,NA,no,NA,yes,NA
104,7,0,7,2012,judd_falls,5,a9,163,99,2012.judd_falls.5.a9,Osmia_iridis,Osmia,male,174,12,NA,149,s,no,NA,NA,NA
104,7,0,7,2012,judd_falls,5,a9,163,99,2012.judd_falls.5.a9,Osmia_iridis,Osmia,male,174,12,NA,149,s,no,NA,NA,NA
104,7,0,7,2012,judd_falls,5,a9,163,99,2012.judd_falls.5.a9,Osmia_iridis,Osmia,male,174,12,NA,149,s,no,NA,NA,NA
104,7,0,7,2012,judd_falls,5,a9,163,99,2012.judd_falls.5.a9,Osmia_iridis,Osmia,male,174,12,NA,149,s,no,NA,NA,NA
104,7,0,7,2012,judd_falls,5,a9,163,99,2012.judd_falls.5.a9,Osmia_iridis,Osmia,male,174,12,NA,149,s,no,NA,NA,NA
104,7,0,7,2012,judd_falls,5,a9,163,99,2012.judd_falls.5.a9,Osmia_iridis,Osmia,male,174,12,NA,149,s,no,NA,NA,NA
